index,product,category,sub_category,brand,sale_price,market_price,type,rating,rating_status,discount_amt,discount_pct
4727,hair wax new - black,Beauty & Hygiene,Men's Grooming,qraa,240.0,240.0,Hair Care & Styling,3.5,Rated,0.0,0.0
4728,icon jug - pink,"Kitchen, Garden & Pets",Storage & Accessories,nayasa,345.0,345.0,Containers Sets,,Not Rated,0.0,0.0
4729,for men eau de toilette,Beauty & Hygiene,Men's Grooming,tommy hilfiger,2240.0,2800.0,Eau De Toilette,4.0,Rated,560.0,20.0
4730,kitchen queen papad box - pink,"Kitchen, Garden & Pets",Storage & Accessories,saaj,149.0,149.0,Containers Sets,4.0,Rated,0.0,0.0
4731,body massage oil for stress relief,Beauty & Hygiene,Skin Care,fizzy fern,463.25,545.0,Aromatherapy,4.0,Rated,81.75,15.0
4732,giloy juice - 100% ayurvedic health juice for immunity boosting,Beauty & Hygiene,Health & Medicine,dabur,250.0,250.0,Ayurveda,,Not Rated,0.0,0.0
4733,revolutionary fabric roll on - outdoor mosquito repellent,Cleaning & Household,Fresheners & Repellents,good knight,129.36,150.0,Mosquito Repellent,4.2,Rated,20.639999999999986,13.759999999999991
4734,"organic - urad dal/uddina bele, black (split)","Foodgrains, Oil & Masala",Dals & Pulses,bb royal,275.0,379.0,Organic Dals & Pulses,4.0,Rated,104.0,27.440633245382585
4735,borosilicate glass square food container with dark blue lid,"Kitchen, Garden & Pets",Storage & Accessories,bb home,229.0,379.0,Containers Sets,4.2,Rated,150.0,39.577836411609496
4736,scrubber - sponge wipes,Cleaning & Household,"Mops, Brushes & Scrubs",gala,220.0,220.0,"Utensil Scrub-Pad, Glove",4.1,Rated,0.0,0.0
4737,"power blast - csk cricket match card game & collectible, 6+ ages, multi-colour",Cleaning & Household,Stationery,kaadoo,150.0,199.0,Games & Calculators,,Not Rated,49.0,24.623115577889447
4738,"scented small candles - bb1369, assorted",Cleaning & Household,Pooja Needs,dp,249.0,365.0,Candles & Match Box,,Not Rated,116.0,31.780821917808222
4739,dog cleanser - erina coat,"Kitchen, Garden & Pets",Pet Food & Accessories,himalaya pet care,220.0,220.0,Pet Cleaning & Grooming,4.1,Rated,0.0,0.0
4740,"deodorant roll on - deep impact freshness, 48 h anti perspirant freshness",Beauty & Hygiene,Fragrances & Deos,nivea men,149.25,199.0,Men's Deodorants,4.3,Rated,49.75,25.0
4741,colocasia - organically grown,Fruits & Vegetables,Fresh Vegetables,fresho,11.0,23.75,Organic Vegetables,,Not Rated,12.75,53.68421052631579
4742,almond carrier cream,Beauty & Hygiene,Skin Care,inatur,420.0,600.0,Body Care,5.0,Rated,180.0,30.0
4743,nutritivo pomegranate radiant glow night cream,Beauty & Hygiene,Skin Care,stbotanica,899.0,899.0,Face Care,5.0,Rated,0.0,0.0
4744,fruit power - mixed fruits,Beverages,Fruit Juices & Drinks,real,171.0,220.0,Juices,,Not Rated,49.0,22.272727272727273
4745,shower gel - peach & avocado,Beauty & Hygiene,Bath & Hand Wash,fiama,55.0,55.0,Shower Gel & Body Wash,4.4,Rated,0.0,0.0
4746,keora water - authentic flavour for  briyani's and desserts,Snacks & Branded Foods,Ready To Cook & Eat,dabur,55.8,62.0,Home Baking,4.4,Rated,6.200000000000003,10.000000000000005
4747,tea - strong,Beverages,Tea,tata tea kanan devan,272.7,303.0,Leaf & Dust Tea,4.2,Rated,30.30000000000001,10.000000000000004
4748,natural hair strengthening oil,Beauty & Hygiene,Hair Care,the moms co,429.0,429.0,Hair Oil & Serum,5.0,Rated,0.0,0.0
4749,rose water soap,Beauty & Hygiene,Bath & Hand Wash,khadi natural,66.5,70.0,Bathing Bars & Soaps,4.2,Rated,3.5,5.0
4750,skin lightening face wash - sulphate free,Beauty & Hygiene,Skin Care,organic harvest,89.25,105.0,Face Care,2.9,Rated,15.75,15.0
4751,safe hair color - soft black,Beauty & Hygiene,Hair Care,vegetal,540.0,540.0,Hair Color,2.8,Rated,0.0,0.0
4752,"hair conditioner - ayurvedic hair repair therapy, for all hair types",Beauty & Hygiene,Hair Care,jiva ayurveda,170.0,170.0,Shampoo & Conditioner,4.3,Rated,0.0,0.0
4753,bakery biscuit - tooti fruity,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",bb popular,145.0,145.0,"Bakery Biscuits, Cookies",,Not Rated,0.0,0.0
4754,pork premium bacon,"Eggs, Meat & Fish","Sausages, Bacon & Salami",la carne,375.0,375.0,Pork & Ham,,Not Rated,0.0,0.0
4755,signature dark temptation - no gas body deodorant for men,Beauty & Hygiene,Fragrances & Deos,axe,277.5,530.0,Men's Deodorants,4.1,Rated,252.5,47.64150943396226
4756,espresso body scrub - with coffee & walnut shell powder,Beauty & Hygiene,Bath & Hand Wash,fizzy fern,505.75,595.0,Body Scrubs & Exfoliants,,Not Rated,89.25,15.0
4757,"tiffin set - with 2 containers, thermosteel, insulated, yellow, vector deluxe","Kitchen, Garden & Pets",Storage & Accessories,milton,379.0,500.0,Lunch Boxes,2.0,Rated,121.0,24.2
4758,namkeen - masala peanut,Snacks & Branded Foods,Snacks & Namkeen,haldirams,60.0,60.0,Namkeen & Savoury Snacks,4.1,Rated,0.0,0.0
4759,"steel bowl - no. 8, conical","Kitchen, Garden & Pets",Steel Utensils,bb home,179.0,299.0,Bowls & Vessels,4.2,Rated,120.0,40.13377926421405
4760,"roopchand fish - slice, preservative free, 10-14 pcs","Eggs, Meat & Fish",Fish & Seafood,fresho,185.0,249.0,Fresh Fish,,Not Rated,64.0,25.702811244979916
4761,"cheese - cheddar with chillies, block",Gourmet & World Food,Dairy & Cheese,fresho signature,284.4,316.0,International Cheese,,Not Rated,31.600000000000023,10.000000000000007
4762,american sour cream and onion spice mix,Gourmet & World Food,Cooking & Baking Needs,entree,71.25,75.0,"Herbs, Seasonings & Rubs",2.0,Rated,3.75,5.0
4763,xxx non gas deodorant,Beauty & Hygiene,Men's Grooming,kamasutra,175.0,250.0,Men's Deodorants,3.3,Rated,75.0,30.0
4764,cumin/jeera/jeerige - whole,"Foodgrains, Oil & Masala",Masalas & Spices,bb royal,125.0,250.0,Whole Spices,4.1,Rated,125.0,50.0
4765,premium kulfi maker with candy cone - pink,"Kitchen, Garden & Pets",Storage & Accessories,mastercook,79.0,130.0,Containers Sets,3.4,Rated,51.0,39.23076923076923
4766,gems premium incense sticks - economy pack,Cleaning & Household,Pooja Needs,liberty,54.0,60.0,"Agarbatti, Incense Sticks",4.8,Rated,6.0,10.0
4767,gluten-free masala jowar upma mix,Gourmet & World Food,Cooking & Baking Needs,graminway,320.0,320.0,Flours & Pre-Mixes,4.0,Rated,0.0,0.0
4768,imitation badger shaving brush,Beauty & Hygiene,Men's Grooming,letsshave,569.05,599.0,Shaving Care,3.3,Rated,29.950000000000045,5.000000000000008
4769,7 o clock razor - sterling,Beauty & Hygiene,Men's Grooming,gillette,78.4,80.0,Shaving Care,4.2,Rated,1.5999999999999943,1.9999999999999927
4770,sparkling white toothpaste,Beauty & Hygiene,Oral Care,himalaya,81.0,90.0,Toothpaste,4.2,Rated,9.0,10.0
4771,"transparent button folder - 14"" x 10"" with snap button cover",Cleaning & Household,Stationery,ravi agencies,98.0,100.0,"Scissor, Glue & Tape",4.4,Rated,2.0,2.0
4772,daily choco almond bar,Snacks & Branded Foods,Chocolates & Candies,ritebite max protein,360.0,360.0,Granola & Cereal Bars,4.2,Rated,0.0,0.0
4773,fresh start oil clear strawberry face wash,Beauty & Hygiene,Skin Care,himalaya,105.0,140.0,Face Care,4.1,Rated,35.0,25.0
4774,falooda mix mango,Snacks & Branded Foods,Ready To Cook & Eat,weikfield,65.0,70.0,Home Baking,4.2,Rated,5.0,7.142857142857142
4775,tuna tomato rice - ready to eat,Snacks & Branded Foods,Ready To Cook & Eat,tasty nibbles,110.0,110.0,Heat & Eat Ready Meals,2.5,Rated,0.0,0.0
4776,caramel & cedarwood moisturizer - mini,Beauty & Hygiene,Skin Care,rawnature,181.35,279.0,Face Care,2.0,Rated,97.65,35.0
4777,jelly - assorted,Gourmet & World Food,Chocolates & Biscuits,coco cado,50.0,50.0,"Marshmallow, Candy, Jelly",2.0,Rated,0.0,0.0
4778,brightening & firming eye serum,Beauty & Hygiene,Skin Care,kaya clinic,855.0,950.0,Eye Care,3.8,Rated,95.0,10.0
4779,nourish & replenish shampoo & conditioner combo pack with philips hair dryer,Beauty & Hygiene,Hair Care,tresemme,1328.0,1660.0,Shampoo & Conditioner,3.0,Rated,332.0,20.0
4780,spread - peach,Gourmet & World Food,"Sauces, Spreads & Dips",la vieja fabrica,340.0,340.0,"Jams, Marmalade, Spreads",5.0,Rated,0.0,0.0
4781,icon gold eau de parfum,Beauty & Hygiene,Fragrances & Deos,police,2073.6,3600.0,Eau De Parfum,,Not Rated,1526.4,42.400000000000006
4782,dhanwantharam thailam,Beauty & Hygiene,Health & Medicine,kerala ayurveda,370.0,370.0,Ayurveda,,Not Rated,0.0,0.0
4783,organic pesticide & fungicide,"Kitchen, Garden & Pets",Gardening,natures plus,190.0,190.0,Fertilizers & Pesticides,3.3,Rated,0.0,0.0
4784,ghee/tuppa,"Foodgrains, Oil & Masala",Edible Oils & Ghee,sampriti,564.0,564.0,Ghee & Vanaspati,3.4,Rated,0.0,0.0
4785,potato crisps - sour cream and onion,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",pringles,260.0,260.0,Nachos & Chips,4.2,Rated,0.0,0.0
4786,diaper pants - new baby,Baby Care,Diapers & Wipes,pampers,552.21,699.0,Diapers,3.8,Rated,146.78999999999996,20.999999999999993
4787,ragi bites - choco poco,Snacks & Branded Foods,Breakfast Cereals,soulfull,525.0,525.0,Kids Cereal,3.3,Rated,0.0,0.0
4788,pickle - ginger,Snacks & Branded Foods,Pickles & Chutney,priya,90.0,90.0,Other Veg Pickle,4.1,Rated,0.0,0.0
4789,pickle - mix vegetable,Snacks & Branded Foods,Pickles & Chutney,mtr,130.0,130.0,Other Veg Pickle,4.0,Rated,0.0,0.0
4790,red velvet cake,"Bakery, Cakes & Dairy",Cakes & Pastries,the baker's dozen,139.0,139.0,Tea Cakes & Slice Cakes,3.5,Rated,0.0,0.0
4791,disney belle princess double wall insulated kids sipper bottle,"Kitchen, Garden & Pets",Storage & Accessories,hm international,269.0,299.0,Lunch Boxes,1.0,Rated,30.0,10.033444816053512
4792,glass water bottle with white cap - bb1245wht,"Kitchen, Garden & Pets",Storage & Accessories,dp,279.0,499.0,Water & Fridge Bottles,,Not Rated,220.0,44.08817635270541
4793,"cotton enriched toilet paper - deluxe, 3 ply",Cleaning & Household,"Disposables, Garbage Bag",selpak,300.0,300.0,"Paper Napkin, Tissue Box",4.8,Rated,0.0,0.0
4794,microfibre duster,Cleaning & Household,"Mops, Brushes & Scrubs",gala,150.0,150.0,Dust Cloth & Wipes,3.8,Rated,0.0,0.0
4795,papaya facial kit - blister pack,Beauty & Hygiene,Skin Care,banjara's,200.0,200.0,Face Care,5.0,Rated,0.0,0.0
4796,malabar trevally fish (medium) - boneless,"Eggs, Meat & Fish",Fish & Seafood,fresho,1249.0,1249.0,Fresh Fish,,Not Rated,0.0,0.0
4797,san remo pasta 500g+disano olive oil extra virgin 1l+happy chef pasta sauce 270g,Gourmet & World Food,"Sauces, Spreads & Dips",bb combo,876.3,1594.0,Pastas & Spaghetti,,Not Rated,717.7,45.025094102885824
4798,karpooradi thailam,Beauty & Hygiene,Health & Medicine,kerala ayurveda,305.0,305.0,Ayurveda,,Not Rated,0.0,0.0
4799,rte butter popcorn pp,Snacks & Branded Foods,Snacks & Namkeen,act ii,20.0,20.0,Chips & Corn Snacks,3.9,Rated,0.0,0.0
4800,pineapple economy long box - fg06724,Cleaning & Household,Pooja Needs,shalimar,54.0,60.0,"Agarbatti, Incense Sticks",4.0,Rated,6.0,10.0
4801,"stainless steel serving handi with rack - glass lid, labella","Kitchen, Garden & Pets",Steel Utensils,anjali,699.0,1175.0,Bowls & Vessels,3.9,Rated,476.0,40.51063829787234
4802,dust pan - excel,Cleaning & Household,"Mops, Brushes & Scrubs",magix,80.0,80.0,Brooms & Dust Pans,3.5,Rated,0.0,0.0
4803,beard & mooch wax - strong hold,Beauty & Hygiene,Men's Grooming,ustraa,450.0,450.0,Moustache & Beard Care,5.0,Rated,0.0,0.0
4804,"chai/bonechina coffee mug - multicolour, polka print","Kitchen, Garden & Pets",Crockery & Cutlery,claycraft,486.0,486.0,"Cups, Mugs & Tumblers",5.0,Rated,0.0,0.0
4805,thandai milk shake powder,Gourmet & World Food,Dairy & Cheese,nectar valley,265.0,265.0,Milk & Soya Drinks,3.0,Rated,0.0,0.0
4806,"sun shield - bio micro gold matte cream, spf 30",Beauty & Hygiene,Skin Care,biotique,221.25,295.0,Face Care,3.7,Rated,73.75,25.0
4807,orange salsa gold ice cream,"Bakery, Cakes & Dairy",Ice Creams & Desserts,amul,225.0,225.0,Ice Creams,3.2,Rated,0.0,0.0
4808,super glue,Cleaning & Household,Stationery,evo bond,110.0,110.0,"Scissor, Glue & Tape",3.9,Rated,0.0,0.0
4809,nilgiris green tea - anicca chamomile,Beverages,Tea,teamonk,450.0,750.0,Tea Bags,5.0,Rated,300.0,40.0
4810,cracker sandwich - butter flavour,Gourmet & World Food,Chocolates & Biscuits,munchys,185.0,185.0,"Cookies, Biscotti, Wafer",4.1,Rated,0.0,0.0
4811,extra virgin coconut oil,Gourmet & World Food,Oils & Vinegar,harin,700.0,700.0,Flavoured & Other Oils,5.0,Rated,0.0,0.0
4812,orange drink powder,Gourmet & World Food,Drinks & Beverages,tang,349.0,349.0,Gourmet Juices & Drinks,,Not Rated,0.0,0.0
4813,honey fig cake,"Bakery, Cakes & Dairy",Cakes & Pastries,bhealthy,149.0,149.0,Tea Cakes & Slice Cakes,2.7,Rated,0.0,0.0
4814,"aluminium pressure cooker - super blk plus, induction base, hard anodised, black","Kitchen, Garden & Pets",Cookware & Non Stick,ucook,1499.0,2499.0,Pressure Cookers,4.1,Rated,1000.0,40.01600640256102
4815,italian dressing - 81% less fat,Gourmet & World Food,"Sauces, Spreads & Dips",american garden,270.0,270.0,Salad Dressings,3.0,Rated,0.0,0.0
4816,mix fruit face wash,Beauty & Hygiene,Skin Care,khadi meghdoot,175.0,175.0,Face Care,5.0,Rated,0.0,0.0
4817,kitchen king masala,"Foodgrains, Oil & Masala",Masalas & Spices,badshah,37.0,37.0,Blended Masalas,4.2,Rated,0.0,0.0
4818,peri peri chickpeas,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",fabbox,180.0,180.0,"Healthy, Baked Snacks",,Not Rated,0.0,0.0
4819,naturals hair oil - jasmine,Beauty & Hygiene,Hair Care,nihar,139.5,155.0,Hair Oil & Serum,4.4,Rated,15.5,10.0
4820,store in food keeper/ plastic container,"Kitchen, Garden & Pets",Storage & Accessories,saura,69.0,75.0,Containers Sets,3.7,Rated,6.0,8.0
4821,double walled glass bottle with pink cap - bb1241,"Kitchen, Garden & Pets",Storage & Accessories,dp,279.0,409.0,Water & Fridge Bottles,,Not Rated,130.0,31.784841075794624
4822,"dry cat food - chicken flavour, for adult cats, +1 year","Kitchen, Garden & Pets",Pet Food & Accessories,whiskas,410.0,410.0,Pet Meals & Treats,4.6,Rated,0.0,0.0
4823,moisturising cow's ghee soap,Beauty & Hygiene,Bath & Hand Wash,lever ayush,129.0,129.0,Bathing Bars & Soaps,4.3,Rated,0.0,0.0
4824,dziner empire bamboo tree juice water glass,"Kitchen, Garden & Pets",Crockery & Cutlery,cello,299.0,345.0,Glassware,3.6,Rated,46.0,13.333333333333334
4825,casting creme gloss hair color,Beauty & Hygiene,Hair Care,loreal paris,467.5,550.0,Hair Color,4.0,Rated,82.5,15.0
4826,creme care soap - for hands & body,Beauty & Hygiene,Bath & Hand Wash,nivea,54.0,54.0,Bathing Bars & Soaps,4.3,Rated,0.0,0.0
4827,fairy oil,Beauty & Hygiene,Skin Care,aroma magic,300.0,400.0,Aromatherapy,1.0,Rated,100.0,25.0
4828,blossom arabian jasmine face & body mist,Beauty & Hygiene,Skin Care,fuschia,225.0,250.0,Face Care,3.0,Rated,25.0,10.0
4829,banana - poovan,Fruits & Vegetables,Fresh Fruits,fresho,26.0,32.5,"Banana, Sapota & Papaya",,Not Rated,6.5,20.0
4830,milk choco spread,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",pillsbury,197.2,290.0,Choco & Nut Spread,3.9,Rated,92.80000000000001,32.00000000000001
4831,life on coconut shampoo & shower gel,Beauty & Hygiene,Bath & Hand Wash,nike,299.0,299.0,Shower Gel & Body Wash,,Not Rated,0.0,0.0
4832,deodorant spray - women chastity,Beauty & Hygiene,Fragrances & Deos,rasasi,284.05,299.0,Women's Deodorants,,Not Rated,14.949999999999989,4.9999999999999964
4833,earl grey bergamot green tea - loose leaf,Gourmet & World Food,Drinks & Beverages,sancha,350.0,350.0,Gourmet Tea & Tea Bags,,Not Rated,0.0,0.0
4834,natirel raw banana flour,Gourmet & World Food,Cooking & Baking Needs,kokos natural,199.0,199.0,Flours & Pre-Mixes,3.8,Rated,0.0,0.0
4835,britannia pav,"Bakery, Cakes & Dairy",Breads & Buns,britannia,25.0,25.0,"Buns, Pavs & Pizza Base",,Not Rated,0.0,0.0
4836,flask ceramic milk & coffee mug zs-fl-04,"Kitchen, Garden & Pets",Crockery & Cutlery,jcpl,159.0,214.0,"Cups, Mugs & Tumblers",4.4,Rated,55.0,25.70093457943925
4837,square dish with handle - ih22dh16180,"Kitchen, Garden & Pets",Crockery & Cutlery,borosil,589.0,675.0,Glassware,4.9,Rated,86.0,12.74074074074074
4838,"skin superfood - advanced plant based formula, blueberry & lemon flavour",Gourmet & World Food,Drinks & Beverages,chicnutrix,1584.0,1980.0,Health Drinks,,Not Rated,396.0,20.0
4839,natural baby wash,Baby Care,Baby Bath & Hygiene,the moms co,393.0,393.0,Baby Bath,5.0,Rated,0.0,0.0
4840,classico - pure olive oil,Gourmet & World Food,Oils & Vinegar,rro,825.0,825.0,"Pure, Pomace Olive Oil",,Not Rated,0.0,0.0
4841,mixed fruit face wash,Beauty & Hygiene,Skin Care,nutrinorm,199.0,199.0,Face Care,5.0,Rated,0.0,0.0
4842,jeera/cumin powder,"Foodgrains, Oil & Masala",Masalas & Spices,ravi,32.0,32.0,Blended Masalas,5.0,Rated,0.0,0.0
4843,perfume body spray - enchanted beauty for women,Beauty & Hygiene,Fragrances & Deos,armaf,475.0,500.0,Body Sprays & Mists,,Not Rated,25.0,5.0
4844,"face mask gp95+ - white, small",Beauty & Hygiene,Health & Medicine,godrej protekt,130.0,160.0,Face Masks & Safety Gears,4.0,Rated,30.0,18.75
4845,kanda poha,"Foodgrains, Oil & Masala",Organic Staples,24 mantra,90.0,90.0,"Organic Rice, Other Rice",3.7,Rated,0.0,0.0
4846,amaze body deodorant,Beauty & Hygiene,Fragrances & Deos,x-men,105.0,210.0,Men's Deodorants,3.8,Rated,105.0,50.0
4847,coffee sticks - premium,Gourmet & World Food,Chocolates & Biscuits,gone mad,42.5,50.0,Crackers & Digestive,4.5,Rated,7.5,15.0
4848,hakka noodles - tomato,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",desi,70.0,70.0,Hakka Noodles,4.1,Rated,0.0,0.0
4849,styling wax for men - clean cut shine,Beauty & Hygiene,Men's Grooming,set wet studio x,249.0,249.0,Hair Care & Styling,,Not Rated,0.0,0.0
4850,nilgiris green tea - anicca chamomile,Beverages,Tea,teamonk,280.0,400.0,Green Tea,3.8,Rated,120.0,30.0
4851,shoe polish - dark tan leather,Cleaning & Household,Car & Shoe Care,kiwi,48.0,48.0,Shoe Polish,4.0,Rated,0.0,0.0
4852,nescafe - cap colombie coffee,Gourmet & World Food,Drinks & Beverages,nescafe,999.0,999.0,Coffee & Pre-Mix,,Not Rated,0.0,0.0
4853,"oatwow classic - dairy-free oat milk, naturally sweet and creamy, lactose-free",Gourmet & World Food,Dairy & Cheese,urban platter,237.5,250.0,Milk & Soya Drinks,4.7,Rated,12.5,5.0
4854,"printed fabric pencil pouch - blue & black, bb1265dblu",Cleaning & Household,Stationery,dp,124.0,199.0,Exam Pads & Pencil Box,4.7,Rated,75.0,37.68844221105528
4855,self stick bulletin board,Cleaning & Household,Stationery,post-it,250.0,250.0,Books & Magazines,3.5,Rated,0.0,0.0
4856,organic - jaggery/bella,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",bb royal,77.0,109.0,"Organic Sugar, Jaggery",,Not Rated,32.0,29.357798165137616
4857,"olives - black, pitted",Gourmet & World Food,Tinned & Processed Food,figaro,199.0,199.0,"Olive, Jalapeno, Gherkin",4.2,Rated,0.0,0.0
4858,jeera/jeerige - pesticide free,"Foodgrains, Oil & Masala",Masalas & Spices,safe harvest,76.23,99.0,Whole Spices,4.1,Rated,22.769999999999996,22.999999999999996
4859,anytime moisturizing cream,Beauty & Hygiene,Skin Care,kaya clinic,416.0,640.0,Face Care,4.5,Rated,224.0,35.0
4860,ready meals - dal tadka,Snacks & Branded Foods,Ready To Cook & Eat,gits,99.0,110.0,Heat & Eat Ready Meals,4.4,Rated,11.0,10.0
4861,"pumpkin seeds - roasted, salted",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",cornitos,204.0,240.0,Roasted Seeds & Nuts,4.4,Rated,36.0,15.0
4862,cheddar cheese spread - capsicum,"Bakery, Cakes & Dairy",Dairy,nandini,77.0,77.0,Cheese,4.7,Rated,0.0,0.0
4863,face wash - dark spot reduction,Beauty & Hygiene,Skin Care,nivea men,258.71,398.0,Face & Body,4.2,Rated,139.29000000000002,34.99748743718594
4864,cow ghee/tuppa,"Foodgrains, Oil & Masala",Edible Oils & Ghee,sunshine farm,195.0,195.0,Ghee & Vanaspati,5.0,Rated,0.0,0.0
4865,hair fall defense shampoo,Beauty & Hygiene,Hair Care,tresemme,562.5,750.0,Shampoo & Conditioner,4.3,Rated,187.5,25.0
4866,real nature kelp face mask,Beauty & Hygiene,Skin Care,the face shop,100.0,100.0,Face Care,4.1,Rated,0.0,0.0
4867,marvel avengers polyester round shaped pencil bag - hmhtpb 73279-av,Cleaning & Household,Stationery,hm international,160.0,199.0,Exam Pads & Pencil Box,5.0,Rated,39.0,19.597989949748744
4868,chicken nuremberg,"Eggs, Meat & Fish","Sausages, Bacon & Salami",fresho,243.0,270.0,Chicken Sausages,,Not Rated,27.0,10.0
4869,natural fairness natural ayurvedic saffron face wash,Beauty & Hygiene,Skin Care,lever ayush,84.0,105.0,Face Care,4.3,Rated,21.0,20.0
4870,prune juice,Gourmet & World Food,Drinks & Beverages,sunsweet,675.0,675.0,Gourmet Juices & Drinks,,Not Rated,0.0,0.0
4871,ruskit - milk rusk,Snacks & Branded Foods,Biscuits & Cookies,bisk farm,60.0,60.0,"Marie, Health, Digestive",4.3,Rated,0.0,0.0
4872,brahmi pearls,Beauty & Hygiene,Health & Medicine,kerala ayurveda,340.0,340.0,Ayurveda,,Not Rated,0.0,0.0
4873,triphala capsules,Beauty & Hygiene,Health & Medicine,organic india,205.0,205.0,Supplements & Proteins,3.9,Rated,0.0,0.0
4874,gourmets delite  wafers - chocolate 75 gm pouch,Gourmet & World Food,Chocolates & Biscuits,gourmets delite,45.0,45.0,"Cookies, Biscotti, Wafer",,Not Rated,0.0,0.0
4875,quick spin mop,Cleaning & Household,"Mops, Brushes & Scrubs",gala,1199.0,1799.0,"Mops, Wipers",2.9,Rated,600.0,33.35186214563646
4876,shiny steel,Cleaning & Household,All Purpose Cleaners,smac,250.0,250.0,Imported Cleaners,,Not Rated,0.0,0.0
4877,damsel essential for women,Beauty & Hygiene,Fragrances & Deos,dorall collection,419.3,599.0,Eau De Toilette,,Not Rated,179.7,30.0
4878,"steam inhaler vaporizer, 3-in-1 cough steamer cum vaporizer, nozzle inhaler & facial sauna - assorted colours",Beauty & Hygiene,Health & Medicine,prozo plus,359.0,499.0,Everyday Medicine,3.0,Rated,140.0,28.0561122244489
4879,"creme - non greasy moisturizer cream for face, body & hands",Beauty & Hygiene,Men's Grooming,nivea men,116.0,160.0,Face & Body,4.1,Rated,44.0,27.500000000000004
4880,restorative under eye cream,Beauty & Hygiene,Skin Care,nutrinorm,399.0,399.0,Eye Care,,Not Rated,0.0,0.0
4881,"fairness cream - with saffron, aloe vera & turmeric extracts",Beauty & Hygiene,Skin Care,vaadi,61.2,68.0,Face Care,,Not Rated,6.799999999999997,9.999999999999996
4882,cooling teether - star,Baby Care,Baby Accessories,pigeon baby,279.0,279.0,Soothers & Teethers,2.0,Rated,0.0,0.0
4883,dhania,"Foodgrains, Oil & Masala",Masalas & Spices,mdh,67.0,67.0,Powdered Spices,4.3,Rated,0.0,0.0
4884,golden glow cream,Beauty & Hygiene,Skin Care,aroma treasures,445.5,495.0,Face Care,,Not Rated,49.5,10.0
4885,anti hairfall shampoo,Beauty & Hygiene,Hair Care,nyle,47.0,47.0,Shampoo & Conditioner,3.8,Rated,0.0,0.0
4886,"nutrition drink - health, energy & sports",Beverages,"Health Drink, Supplement",boost,234.0,247.0,Kids (5+Yrs),4.3,Rated,13.0,5.263157894736842
4887,face wash - 100% oil clear,Beauty & Hygiene,Men's Grooming,fair and handsome,121.15,170.0,Face & Body,4.2,Rated,48.849999999999994,28.735294117647054
4888,"plastic bottle - narrow neck, brown, apollo, 20381br","Kitchen, Garden & Pets",Storage & Accessories,ratan,99.0,99.0,Water & Fridge Bottles,,Not Rated,0.0,0.0
4889,all time plastic polka masala container - transparent,"Kitchen, Garden & Pets",Storage & Accessories,all time,349.0,425.0,Containers Sets,3.6,Rated,76.0,17.88235294117647
4890,green pitted olives,Gourmet & World Food,Tinned & Processed Food,olicoop,240.0,240.0,"Olive, Jalapeno, Gherkin",,Not Rated,0.0,0.0
4891,ginger paste,Snacks & Branded Foods,Ready To Cook & Eat,fazlani foods,70.0,70.0,Heat & Eat Ready Meals,3.7,Rated,0.0,0.0
4892,scrub pad - with aloxide xtra tough,Cleaning & Household,"Mops, Brushes & Scrubs",good home,30.0,30.0,"Utensil Scrub-Pad, Glove",4.3,Rated,0.0,0.0
4893,skin fruits brightening lemon face wash,Beauty & Hygiene,Skin Care,joy,86.25,115.0,Face Care,4.7,Rated,28.75,25.0
4894,cheese popcorn - sriracha lime,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700bc,35.1,39.0,Gourmet Popcorn,,Not Rated,3.8999999999999986,9.999999999999996
4895,quark cheese,Gourmet & World Food,Dairy & Cheese,mooz,200.0,200.0,International Cheese,,Not Rated,0.0,0.0
4896,synthetic paint brush - round,Cleaning & Household,Stationery,faber castell,172.0,175.0,Colours & Crayons,3.2,Rated,3.0,1.7142857142857144
4897,minute garlic rasam,Snacks & Branded Foods,Ready To Cook & Eat,mtr,26.8,40.0,Heat & Eat Ready Meals,3.9,Rated,13.2,32.99999999999999
4898,open square dustbin / garbage bin bucket - blue colour,Cleaning & Household,Bins & Bathroom Ware,princeware,99.0,146.0,Dustbins,4.1,Rated,47.0,32.19178082191781
4899,food colour - red,Gourmet & World Food,Cooking & Baking Needs,harveys,53.1,59.0,"Baking, Cake Decorations",3.7,Rated,5.899999999999999,9.999999999999998
4900,party wafers - cocoa cream,Gourmet & World Food,Chocolates & Biscuits,gastone lago,349.0,349.0,"Cookies, Biscotti, Wafer",3.0,Rated,0.0,0.0
4901,heel repair ayurvedic foot care cream,Beauty & Hygiene,Skin Care,krack,81.0,90.0,Body Care,4.3,Rated,9.0,10.0
4902,"regal plastic stool - medium printed, assorted color",Cleaning & Household,Bins & Bathroom Ware,polyset,389.0,689.0,"Bath Stool, Basin & Sets",3.1,Rated,300.0,43.54136429608128
4903,"red chilli - long, pesticide free","Foodgrains, Oil & Masala",Masalas & Spices,safe harvest,73.87,89.0,Whole Spices,3.9,Rated,15.129999999999995,16.999999999999996
